35.093273,25.163418,TEFL
35.2977,32.9677,AKDN
35.5074,24.0402,LENT
36.21356,28.12122,ARG
36.4471,28.22116,RODB
36.7804,14.9033,ISPIC
36.81011,11.99514,PANTE
36.8326,14.5345,CROCE
37.02398,14.50064,ACATE
37.11112,14.83,MEU
37.174,33.2636,KRMN
37.25652,15.22713,AGST
37.4057,31.838,SEYD
37.61864,13.60761,MCT
37.6892,15.1356,EVRN
37.769103,27.027477,SAM1
37.842201,-1.240499,EMUR
37.919364,29.3023,CAME
37.919364,30.034952,BASM
37.931,14.695,MNO
37.9641,28.2922,NAZL
37.991327,12.345623,LEVAN
37.9926,14.1431,PLLN
38.03763,12.5873,ERC
38.07323,16.05424,SOI
38.16167,13.36,MPG
38.16807,15.82888,GMB
38.1723,15.8179,GMB1
38.2036,20.3848,HAVD
38.24676,22.04364,DIMT
38.25629,15.714499,SICLA
38.2762,28.0747,ODEM
38.29896,23.331963000000002,THIV
38.301522,23.268776,AMPE
38.3172,20.4165,ATHR
38.329826,23.336006,THVA
38.3727,23.21098,THI2
38.38777,23.39447,THI1
38.82213,16.42002,GRI
38.9088,28.1769,GORD
38.983001,16.627906,SELL
39.0541,30.1104,ALT
39.14804,23.86669,ALNA
39.1564,27.5341,SOMA
39.283981,16.979492,LADO
39.291028,16.338806,SPS2
39.366,9.296,CGL
39.7405,15.8531,GRIS
39.756,26.3655,EZNE
39.9364,27.24216,YENI
39.9627,28.0835,SUSR
40.0113,27.0529,CANM
40.19924,16.0759,SCHR
40.1998,25.9183,GOKC
40.28134,27.15048,BIGA
40.336,15.901,VGG3
40.3799,15.5365,TEGI
40.3814,16.435,CRAC
40.391,31.6872,YUVA
40.4256,15.7296,MRN3
40.542,15.5225,CGG3
40.5573,15.5114,CAGG
40.5609,15.2433,PST3
40.60325,16.8191,LTRZ
40.6052,15.5721,VDP3
40.607,26.1406,ENZZ
40.6519,15.0802,CMP3
40.66,29.465,YALV
40.6951,15.5114,SCL3
40.6953,29.3703,YLVH
40.71089,13.91612,IBCM
40.7153,15.6369,BEL3
40.7357,15.1927,SNR3
40.7401,30.3271,SAUA
40.7408,15.427,VDS3
40.74351,13.89522,ICVJ
40.7598,29.3554,LAFA
40.7889,15.5782,SFL3
40.79478,13.42156,VENT
40.8128,29.2657,TUZL
40.8181,15.4633,CSG3
40.837,15.0067,MNT3
40.8468,15.1222,NSC3
40.8694,29.1278,BUYA
40.8754,29.0854,HYBA
40.8846,29.065,BRGA
40.903,15.4043,CLT3
40.918446,15.002567,MTMR
40.93,15.18,SALI
40.9862,27.5374,TEKI
40.9865,14.9906,LGS3
40.9893,27.5351,TKR
40.9902,27.981,BOTS
40.9908,28.6678,HVHR
40.9908,28.6678,YKBL
40.9958,28.7225,AVCI
40.9998,28.5392,SINB
41.012,15.3852,BSC3
41.11,16.88,OT15
41.1288,26.6322,UKOP
41.134825,1.185893,REUS
41.1428,27.8215,CRLU
41.37007,2.15608,MTJR
41.3853,2.1741,BAJU
41.3949,26.9852,DOGC
41.396,2.173,BAIN
41.491036,13.813008,MCI
41.4939,12.96239,LATB
41.5047,13.558,LIK
41.51,15.34,OT11
41.593324,1.836294,CMON
41.607,2.2884,CGRN
41.6153,0.6262,ILER
41.62,15.72,OT07
41.63,15.91,OT12
41.64709,13.58658,LRP
41.66,15.6,OT05
41.683943,2.794193,BLAN
41.6896,2.4923,CELO
41.69,15.59,OT06
41.71,15.65,OT03
41.72,15.58,OT04
41.7805,12.5923,SAMA
41.82842,12.51553,ROM9
41.8344,15.1703,OT16
