37.5063,23.2368,DID
38.4066,23.7865,ERTR/EREA
38.7047,23.5847,MRKA
39.107929,8.2659,ZLS07
39.144465,9.51649,ZLS06
39.632733,8.993057,ZLS11
39.742072,8.4608,ZLS08
39.974155,9.647323,ZLS04
40.097149,9.16135,ZLS05
40.149911,20.598636,LSK
40.450518,8.749865,ZLS10
40.576722,9.752982,ZLS03
40.7082,19.9455,BERA
40.717178,9.095645,ZLS02
40.987955,8.240092,ZLS09
41.221332,9.435083,ZLS01
42.2326,8.7937,A208A
42.3927,16.2545,CA06A
42.5029,9.5066,A209B
42.775,17.3627,CA08A
42.966,2.70961,PY12B
42.9775,17.1532,CA09A
43.0537,16.1836,CA05A
43.120987,10.573185,A318A
43.1695,18.5854,CA02A
43.2001,6.2335,A205A
43.2197,6.601,A206A
43.2413,5.6099,A204A
43.2989,18.1029,CA04A
43.3502778,17.7938889,BH04A/MOSTR
43.476425,10.578689,A319A
43.5006,4.7917,A201A
43.5022,18.4462,BH06A/KALN
43.5025,3.2602,A202A
43.5079,1.49531,PF15
43.5864,2.87781,PY20
43.5905,16.0578,CA07A
43.593,1.53639,PY18B
43.6006,2.8004,A198A
43.6927,4.1885,A200A
43.7036111,18.2569444,Bjelasnica
43.7438,3.6883,A199A
43.751114,18.036111,BH07A
43.8041,2.27289,PY19
43.9297,1.04411,PY17
43.9752,2.7193,A195A
44.0163,1.83,PY23
44.0515,4.528,A196A
44.0619444,17.4505556,Bugojno
44.068,17.165,BH10A/SRKY
44.170353,12.244515,A309A
44.1972,2.646,PY24B
44.292497,15.053954,VIRC
44.3193,3.5378,A191A
44.3246,2.8695,A190A
44.34333,17.2677778,Jajce
44.3701,6.0733,A217A
44.3711,5.14762,A193A
44.3777778,16.3769444,Drvar
44.3933,6.5023,A194A
44.4291,5.54989,A216A
44.4419,3.16419,PY31
44.45,2.10319,PY30
44.4818,16.5313,BH11A/A050A
44.5069,4.5869,A192A
44.5296,0.7446109999999999,PY28
44.535919,10.596118,A306A
44.5391,7.9089,A280A
44.582485,12.005684,A308A
