9.494400	42.50410	#	A209A
9.506600	42.50290	#	A209B
5.922540	48.82770	#	A210A
6.619520	48.40710	#	A211A
5.044400	48.09310	#	A212A
5.479900	47.49670	#	A213A
5.800300	46.36200	#	A214A
5.232260	45.43070	#	A215A
5.549890	44.42910	#	A216A
6.073300	44.37010	#	A217A
14.91060	45.08400	#	A250A
16.26640	45.12860	#	A251A
17.84820	45.43560	#	A252A
13.81670	45.29260	#	A253A
15.80500	45.31480	#	A254A
16.05070	45.50900	#	A255A
16.70560	47.28340	#	A260A
17.14860	46.95200	#	A261A
16.52760	46.86420	#	A262A
17.31490	46.64080	#	A263A
17.28970	46.15970	#	A264A
17.79540	46.42450	#	A265A
18.26470	46.52560	#	A266A
18.48200	46.94630	#	A267A
17.92380	47.43130	#	A268A
18.38240	47.63860	#	A269A
19.01860	47.84520	#	A270A
18.83410	47.15470	#	A271A
18.96540	46.74440	#	A272A
17.81610	45.91630	#	A273A
7.908900	44.53910	#	A280A
7.709900	44.85340	#	A281A
7.613300	45.25450	#	A282A
8.320800	45.22960	#	A283A
8.288500	45.23800	#	A283B
9.383700	45.13710	#	A284A
9.909800	44.89390	#	A285A
8.833800	45.36600	#	A286A
8.361000	45.62250	#	A287A
8.481800	46.00820	#	A288A
9.761000	46.04730	#	A289A
10.92800	46.50680	#	A290A
11.88050	46.62460	#	A291A
13.127954	45.819313	#	A300A
12.620993	45.619781	#	A301A
11.971315	45.63353	#	A302A
12.31822	45.344273	#	A303A
12.03340	45.001678	#	A304A
12.432347	44.959236	#	A305A
10.596118	44.535919	#	A306A
11.436312	44.660755	#	A307A
12.005684	44.582485	#	A308A
12.244515	44.170353	#	A309A
10.481657	45.10738	#	A312A
10.662822	45.313467	#	A313A
10.295717	42.333679	#	A316A
9.842445	43.049999	#	A317A
10.573185	43.120987	#	A318A
10.578639	43.476407	#	A319A
18.220939	49.150114	#	A331A
18.464488	48.804489	#	A332A
17.104104	48.715571	#	A333A
17.674728	48.604392	#	A334A
18.335925	48.446947	#	A335A
18.999038	48.233339	#	A336A
17.789761	48.244305	#	A337A
18.352506	48.015155	#	A338A
17.655876	47.829403	#	A339A
11.57080	50.16740	#	A350A
10.79220	50.00300	#	A351A
10.76120	50.00190	#	A351B
11.69030	49.82140	#	A352A
10.54260	49.51780	#	A353A
10.96900	49.45230	#	A354A
12.38320	49.34900	#	A355A
12.21380	49.03710	#	A356A
11.99920	48.69980	#	A357A
11.94660	48.70260	#	A357B
13.19430	48.86970	#	A358A
12.64210	48.83310	#	A359A
12.67720	48.82000	#	A359B
10.29710	48.72890	#	A360A
10.81710	48.79090	#	A361A
10.40210	48.36360	#	A362A
10.93330	48.52300	#	A363A
11.45340	48.50190	#	A364A
10.73340	48.16510	#	A365A
10.62340	47.83330	#	A366A
11.92330	48.30670	#	A367A
10.54670	49.12590	#	A368A
11.02160	49.11600	#	A369A
5.020300	42.64730	#	A401A
5.300500	42.87930	#	A402A
5.019300	42.17820	#	A404A
5.303600	42.41160	#	A405A
5.588500	42.61800	#	A406A
6.963700	43.11340	#	A408A
7.516700	43.34820	#	A409A
8.075300	43.58820	#	A410A
8.651200	43.70040	#	A411A
4.744800	41.64760	#	A412A
5.303500	41.94300	#	A413A
5.858300	42.17830	#	A414A
6.410900	42.41190	#	A415A
6.963400	42.64670	#	A416A
7.517800	42.87960	#	A417A
8.070900	42.99990	#	A418A
8.600900	43.29040	#	A419A
9.194900	43.45370	#	A420A
5.849900	41.71530	#	A421A
6.410100	41.94340	#	A422A
6.964050	42.17840	#	A423A
7.515300	42.41110	#	A424A
8.070300	42.64710	#	A425A
8.621500	42.88010	#	A426A
9.194700	43.11900	#	A427A
6.963900	41.71020	#	A428A
7.516700	41.94340	#	A429A
7.980900	42.17790	#	A430A
7.980500	41.70960	#	A431A
9.229900	43.85030	#	A434A
15.623055	44.878389	#	PLIT
14.782104	44.750429	#	RABC
14.154870	45.036052	#	SMRN
15.053954	44.292497	#	VIRC
11.71880	47.97970	#	MGS04
