12.75932	37.89337	#	IV	MTGR
15.69992	38.0031	#	IV	MTTG
13.11427	42.83355	#	IV	NRCA
16.450405	40.05096	#	IV	ORI
14.39667	40.8275	#	IV	OVO
12.84018	43.94105	#	IV	PESA
12.535	43.53567	#	IV	PIEI
10.52495	43.72193	#	IV	PII
14.81078	41.22345	#	IV	PSB1
13.354	46.4075	#	IV	PTCC
13.40057	42.02193	#	IV	PTQR
8.34592	44.32425	#	IV	QLNO
14.1524	41.70328	#	IV	RNI2
11.35855	44.05428	#	IV	SEI
15.30738	40.56045	#	IV	SGO
15.63277	40.39	#	IV	SLCN
12.94057	43.255	#	IV	SNTG
16.05424	38.07323	#	IV	SOI
16.33762	39.6601	#	IV	TDS
12.00017	42.06406	#	IV	TOLF
13.17913	38.70787	#	IV	USI
13.62324	41.86965	#	IV	VVLD
10.9765	44.35085	#	IV	ZCCA
14.90502	41.65418	#	IV	CIGN
12.98176	41.94903	#	IV	CERT
13.31229	41.7945	#	IV	GUAR
23.5577	35.3692	#	GE	KERA
13.7368	46.2281	#	SL	CADS
15.8155	39.9938	#	MN	CUC
20.0005	39.880001	#	AC	SRN
15.6275	45.8672	#	SL	GCIS
14.8393	45.8033	#	SL	VISS
14.0643	45.8934	#	SL	JAVS
8.5679	47.57241	#	CH	FLACH
8.86899	47.66974	#	CH	STEIN
8.68161	47.6487	#	CH	TRULL
13.9046	42.01154	#	IV	INTR
16.7583	39.1794	#	MN	TIP
24.08738	34.83914	#	GE	GVD
13.409	42.53578	#	IV	CAMP
28.4128	44.4581	#	GE	TIRR
14.3807	45.5278	#	SL	KNDS
21.92522	37.17872	#	HL	ITM
25.53553	41.14503	#	HL	RDO
11.1229	44.16782	#	IV	FNVD
7.3744	43.831	#	FR	ESCA
15.8939	38.2603	#	MN	CEL
13.1954	43.37557	#	IV	CING
13.60393	42.62279	#	IV	TERO
8.0667	44.1125	#	GU	RORO
16.06124	40.52148	#	IV	PTRP
10.514	46.05492	#	IV	MABI
2.563	45.385	#	FR	FRNF
2.483	45.749	#	FR	VERF
16.2504	46.4481	#	SL	KOGS
12.5246	43.263	#	IV	MURB
15.2518	45.5043	#	SL	BOJS
17.277	48.373	#	SK	MODS
18.8361	48.494	#	SK	VYHS
17.1025	48.1961	#	SK	ZST
26.583	42.466999	#	BS	JMB
16.5567	47.6807	#	HU	SOP
25.0495	45.4371	#	RO	VOIR
13.53261	38.09193	#	IV	SOLUN
13.58379	42.26573	#	IV	FAGN
13.04032	42.60286	#	IV	LNSS
13.9999	46.3174	#	SL	GORS
14.7057	41.3974	#	IV	SACR
23.7999	44.325	#	RO	CRAR
13.602	43.55017	#	IV	AOI
13.11718	42.26802	#	IV	FIAM
15.5083	38.2639	#	IV	MSRU
15.0737	37.1577	#	IV	SSY
13.8877	46.0322	#	SL	VOJS
15.20908	40.92542	#	IV	SNAL
22.2731	48.9333	#	SK	KOLS
19.495501	40.468601	#	AC	VLO
9.491773	47.294437	#	CH	LIENZ
19.0201	47.4831	#	HU	BUD
28.8151	45.1861	#	RO	TLCR
9.716	45.76972	#	IV	MDI
14.25402	41.64188	#	IV	MIDA
11.90967	42.84906	#	IV	SACS
14.5753	38.5642	#	IV	IFIL
19.406053	43.865157	#	SJ	BBLS
20.471419	44.809297	#	SJ	BEO
22.519669	44.667165	#	SJ	DJES
20.715084	43.888764	#	SJ	GRUS
7.9271	45.0739	#	IV	MONC
14.5938	41.5461	#	IV	BSSO
14.2342	41.4154	#	IV	VAGA
14.37917	41.38667	#	IV	SGG
14.5502	41.7666	#	IV	TRIV
6.1635	42.79483	#	FR	ASEAF
11.4754	42.8519	#	IV	ARCI
15.122	36.9596	#	IV	HAVL
14.7831	36.959	#	IV	HMDC
14.9483	38.4457	#	IV	ILOS
14.9801	38.3763	#	IV	IVPL
27.1776	40.6874	#	KO	RKY
7.06101	45.76975	#	IV	MRGE
10.5243	45.6183	#	IV	SALO
13.9138	42.8081	#	IV	TRTR
14.4433	46.2941	#	SL	MOZS
15.2366	41.028	#	IV	CAFE
14.9744	37.6934	#	IV	ESLN
14.7155	37.1783	#	IV	HVZN
15.1684	40.7826	#	IV	MCRV
19.9917	44.0981	#	MN	DIVS
16.6041	40.9071	#	IV	AMUR
15.158	41.37	#	IV	MOCO
17.0644	40.7888	#	IV	NOCI
15.0246	46.4342	#	SL	ZAVS
15.6163	40.9549	#	IV	VULT
15.4871	49.2948	#	CZ	TREC
12.7103	41.76039	#	IV	RDP
15.3046	40.4896	#	IV	CDRU
15.303	40.3181	#	IV	CMPR
16.4383	38.4494	#	IV	PLAC
16.6886	39.0359	#	IV	SERS
21.6401	45.6188	#	RO	BZS
25.577801	42.0457	#	BS	DIM
24.1735	42.513699	#	BS	PGB
24.747499	42.1469	#	BS	PLD
14.2613	46.0807	#	SL	CRNS
14.3624	37.2225	#	IV	RAFF
18.14687	42.66908	#	CR	DBRK
16.4488	43.1776	#	CR	HVAR
15.707297	43.866017	#	CR	MORI
15.467266	45.61527	#	CR	OZLJ
14.4828	45.3251	#	CR	RIY
17.6999	42.8716	#	CR	STON
15.99417	45.829442	#	CR	ZAG
19.973146	43.261405	#	SJ	JES
21.215175	44.265486	#	SJ	SVIS
15.365	41.135	#	IV	SGTA
14.7014	46.1016	#	SL	VNDS
22.48916	40.10333	#	HT	LIT
23.3539	40.8217	#	HT	SOH
18.4675	40.0724	#	IV	SCTE
26.0506	38.3869	#	HT	CHOS
14.0143	45.5464	#	SL	SKDS
22.3423	37.9363	#	HP	GUR
13.3038	37.8943	#	IV	CORL
15.155	37.285	#	IV	HAGA
11.804	42.6137	#	IV	LATE
13.6857	42.935	#	IV	OFFI
7.2649	45.1482	#	GU	RSP
10.4916	43.9131	#	GU	MAIM
7.3263	44.2451	#	GU	STV
15.8588	47.9282	#	OE	CSNA
