8.882134	52.1	0.003088	0.046925	0.079106
21.082134	44.2	0.133636	0.054499	0.077712
20.382134	42.9	0.123891	0.055746	0.077482
7.782134	50	0.054594	0.048938	0.078735
5.482134	46.3	0.035974	0.052486	0.078082
11.982134	46.5	0.073752	0.052294	0.078118
13.582134	51.7	0.004089	0.047308	0.079035
23.182134	41.7	0.203231	0.056896	0.077271
11.882134	51.6	0.006351	0.047404	0.079018
10.382134	47.7	0.028795	0.051144	0.078329
33.882134	37.3	0.078155	0.061115	0.076494
23.282134	42.5	0.239185	0.056129	0.077412
10.182134	42.3	0.010587	0.056321	0.077376
-0.217866	48.5	0.018094	0.050376	0.078471
20.482134	45.5	0.094521	0.053253	0.077941
15.182134	48.1	0.044001	0.05076	0.0784
32.482134	35.4	0.29436	0.062937	0.076159
22.582134	41.9	0.207744	0.056705	0.077306
21.382134	39	0.281742	0.059485	0.076794
27.482134	42.7	0.107332	0.055938	0.077447
19.082134	44.9	0.099602	0.053828	0.077835
6.382134	44.5	0.091771	0.054212	0.077765
10.182134	43.1	0.031153	0.055554	0.077518
21.282134	42	0.189213	0.056609	0.077324
10.782134	45.5	0.163626	0.053253	0.077941
22.782134	43.7	0.089153	0.054979	0.077624
26.082134	39.5	0.428659	0.059006	0.076882
9.682134	45.6	0.179728	0.053157	0.077959
-0.517866	47.8	0.019401	0.051048	0.078347
9.482134	46.6	0.072925	0.052198	0.078135
-0.517866	37.6	0.080021	0.060828	0.076547
21.982134	48.5	0.038692	0.050376	0.078471
16.482134	46	0.18878	0.052774	0.078029
18.482134	46.9	0.06151	0.051911	0.078188
15.182134	41.5	0.170598	0.057088	0.077235
22.282134	47.9	0.057	0.050952	0.078365
32.082134	40.5	0.20116	0.058047	0.077059
16.082134	43.5	0.140447	0.055171	0.077588
18.882134	42.8	0.155437	0.055842	0.077465
5.882134	46.9	0.033457	0.051911	0.078188
-1.717866	51.4	0.006293	0.047596	0.078982
15.182134	44.8	0.115503	0.053924	0.077818
0.982134	41.1	0.031374	0.057472	0.077165
20.982134	44.5	0.1236	0.054212	0.077765
21.182134	43.2	0.143513	0.055458	0.077535
18.982134	50.5	0.006976	0.048459	0.078824
32.982134	35.6	0.190773	0.062745	0.076194
9.082134	40	0.01002	0.058526	0.076971
21.882134	51.2	0.00272	0.047788	0.078947
13.982134	46.1	0.186534	0.052678	0.078047
