>
8.7120447623268 49.8362915512208 # RhineGrabenE
8.7120447623268 49.6254863544415 # RhineGrabenE
8.6887395444106 49.444708083886 # RhineGrabenE
8.6187976065817 49.2787654465607 # RhineGrabenE
8.4556085130077 49.0704445146835 # RhineGrabenE
8.2574440698392 48.8401459210833 # RhineGrabenE
8.0942549762653 48.6982328308416 # RhineGrabenE
8.0009990591601 48.5030217607868 # RhineGrabenE
7.8727765538205 48.1899783919531 # RhineGrabenE
7.8378099655861 48.0620224867215 # RhineGrabenE
7.7795206367153 47.9176359355582 # RhineGrabenE
7.7212400692046 47.7405535945174 # RhineGrabenE
>
4.1132856881759 43.4680720153073 # esqFrance11
4.1132856881759 43.3680720153073 # esqFrance11
4.014895614041 43.1532002793592 # esqFrance11
4.014895614041 42.9790404430753 # esqFrance11
>
2.9629804340898 42.3637570507156 # ssPyren3
3.4280071451188 42.0307397352333 # ssPyren3
>
2.045175393478 41.0010799756057 # ssValencia2
1.6535776416053 40.8534669192993 # ssValencia2
1.1885509305763 40.3502345355449 # ssValencia2
>
3.7584155579214 41.4036039504857 # ssPyren7
2.8773206162077 41.2761081048186 # ssPyren7
>
-0.010712803854005 38.8960040831745 # ssValencia6
-0.26770101886054 38.6106141503158 # ssValencia6
-0.43902941598493 38.3907887845112 # ssValencia6
-0.6592987707333 38.1970379541041 # ssValencia6
-0.7571982087015 38.0295766652308 # ssValencia6
-0.86733726675574 37.8549946260827 # ssValencia6
>
0.22179617098043 39.8037855137967 # ssValencia4
-0.23099091996249 39.1472086434171 # ssValencia4
-0.31665073784464 38.9820450485884 # ssValencia5
>
8.8621619066034 41.2118043942904 # Sardinia
8.8522265242286 40.8635641026235 # Sardinia
8.8522265242286 40.5709784139491 # Sardinia
8.8522265242286 40.2033212978494 # Sardinia
8.9018683906621 39.9711290207798 # Sardinia
8.9614456394704 39.7380969699064 # Sardinia
9.070655993352 39.5255244550622 # Sardinia
9.2096549716378 39.167920608669 # Sardinia
>
-0.4352970765743 36.0798152828553 # AtlasSea
-0.88401889642206 35.8832281382018 # AtlasSea
-1.2081016072189 35.7425070117969 # AtlasSea
-1.4698647634902 35.6509054438302 # AtlasSea
-1.7316191584014 35.5380217233366 # AtlasSea
>
23.058658059286 41.3420780223267 # Chalkidiki
23.392518447975 41.080650817457 # Chalkidiki
23.626218967786 40.9115801865934 # Chalkidiki
23.848792560245 40.7303375899038 # Chalkidiki
24.01572275459 40.6307228666463 # Chalkidiki
24.23829634705 40.5133232688977 # Chalkidiki
>
20.91845929353 36.8196475787275 # HellenicWest
21.153947130805 36.6488806336367 # HellenicWest
21.358043014774 36.5040866712268 # HellenicWest
21.577839256076 36.3502171192011 # HellenicWest
21.781935140045 36.2929836219531 # HellenicWest
21.978172083987 36.1916256702019 # HellenicWest
22.182267967956 36.0282965742481 # HellenicWest
22.402064209258 35.842482526183 # HellenicWest
22.535508485228 35.6917441169588 # HellenicWest
22.692503297198 35.540721313029 # HellenicWest
22.880898823834 35.3805007209654 # HellenicWest
23.022193278471 35.2735180693156 # HellenicWest
23.218430222413 35.1127719814412 # HellenicWest
23.328332723744 34.9741064262075 # HellenicWest
23.430376285049 34.8531411124694 # HellenicWest
23.548120203686 34.7634258278899 # HellenicWest
23.67372306235 34.678108053272 # HellenicWest
23.846418231653 34.6241806744238 # HellenicWest
24.026954818263 34.5927042958574 # HellenicWest
24.238900880898 34.5837089066523 # HellenicWest
24.419446228867 34.6061955982086 # HellenicWest
24.576441040837 34.6466566695694 # HellenicWest
24.717735495474 34.7185348434232 # HellenicWest
24.843329592778 34.7813775394535 # HellenicWest

