19.170795213202275,			46.683323
18.844293529882634,			46.551529
18.479374222192355,			46.49871
18.056843285278674,			46.432606
17.65351375688403,			46.379659
17.25018422848939,			46.313393
16.94288765552193,			46.19389
17.230979118137206,			45.980721
17.65351375688403,			45.927285
18.056843285278674,			45.913917
18.440964001487995,			45.913917
18.825084717697315,			45.94065
19.24761935644414,			45.927285
19.63174007265346,			45.847023
19.881421314564378,			45.618914
19.97745056815842,			45.3357
20.054274711400286,			45.050904
20.09268863393779,			44.75085
20.09268863393779,			44.462816
20.16951277717965,			44.159374
20.306336920421516,			43.854202
20.459985206905246,			43.561289
20.632842305574294,			43.266806
20.824900812762384,			42.984887
20.97854909924611,			42.701547
21.20902523080485,			42.431063
21.439497660530443,			42.159304
21.650764979903852,			41.886272
21.82361837673976,			41.597499
21.95806155287131,			41.292781
22.111709839355038,			41.00114
22.342182269080632,			40.737474
22.64948254388123,			40.487426
