25.429562 36.385841 0.0 60 60
25.4282 36.4159 0.0 60 60
27.1309 36.6106 0.0 60 60
24.4853 37.1609 0.0 60 60
21.013 37.2497 0.0 60 60
23.1189 37.6144 0.0 60 60
12.7556 37.67883 0.0 60 60
12.92242 37.79082 0.0 60 60
13.00433 37.80162 0.0 60 60
20.696265 37.851123 0.0 60 60
22.8692 37.8902 0.0 60 60
12.75932 37.89337 0.0 60 60
22.9743 37.9879 0.0 60 60
22.6634 38.0357 0.0 60 60
23.4662 38.0606 0.0 60 60
23.93306 38.07794 0.0 60 60
20.5841 38.114 0.0 60 60
23.3122 38.1642 0.0 60 60
21.89204 38.30811 0.0 60 60
22.184363 38.321825 0.0 60 60
21.87263 38.39341 0.0 60 60
21.72277 38.3959 0.0 60 60
21.945772 38.415536 0.0 60 60
20.656 38.621 0.0 60 60
22.99886 38.64956 0.0 60 60
20.5746 38.6839 0.0 60 60
22.659 38.7664 0.0 60 60
21.13842 40.19588 0.0 60 60
26.4742 40.398 0.0 60 60
15.458 40.4861 0.0 60 60
22.9628 40.6319 0.0 60 60
27.1777 40.6875 0.0 60 60
13.943825 40.746222 0.0 60 60
27.327514 40.747895 0.0 60 60
13.872129 40.75909 0.0 60 60
14.034938 40.761401 0.0 60 60
21.3836 40.7817 0.0 60 60
15.3331 40.9298 0.0 60 60
27.736 41.129 0.0 60 60
27.5238 41.6308 0.0 60 60
24.7388 41.6942 0.0 60 60
19.900001 42.040012 0.0 60 60
24.7475 42.1469 0.0 60 60
26.583 42.467 0.0 60 60
24.1734 42.5137 0.0 60 60
18.31235 42.6007 0.0 60 60
18.14687 42.669083 0.0 60 60
16.891928 42.768552 0.0 60 60
22.6513 42.8345 0.0 60 60
23.2793 42.857 0.0 60 60
11.67894 42.868614 0.0 60 60
17.6999 42.8716 0.0 60 60
27.4099 43.1602 0.0 60 60
17.019674 43.287712 0.0 60 60
7.1312 43.5479 0.0 60 60
16.784453 43.608877 0.0 60 60
10.504497 43.631413 0.0 60 60
11.5327 43.9545 0.0 60 60
16.404696 44.004883 0.0 60 60
27.8009 44.1168 0.0 60 60
28.4224 44.1779 0.0 60 60
11.43431 44.188961 0.0 60 60
28.0624 44.3207 0.0 60 60
4.7697400000000005 44.37408 0.0 60 60
15.769351 44.531422 0.0 60 60
28.0467 44.5445 0.0 60 60
14.87105 44.56347 0.0 60 60
28.0419 44.5858 0.0 60 60
27.3351 44.6102 0.0 60 60
15.270319 44.688436 0.0 60 60
21.7128 44.7815 0.0 60 60
22.416 44.881 0.0 60 60
26.9768 44.9199 0.0 60 60
5.672365 44.941426 0.0 60 60
5.653199 44.95068 0.0 60 60
14.751474 44.972003 0.0 60 60
13.8167 45.2926 0.0 60 60
14.483006 45.325086 0.0 60 60
13.501932 45.494952 0.0 60 60
27.8302 45.5007 0.0 60 60
26.7099 45.5481 0.0 60 60
27.6687 45.5939 0.0 60 60
15.467266 45.61527 0.0 60 60
24.273 45.652 0.0 60 60
22.1246 45.754 0.0 60 60
15.98687 45.827084 0.0 60 60
26.6498 45.8512 0.0 60 60
22.898 45.887 0.0 60 60
15.3177 45.9488 0.0 60 60
15.6245 46.010799 0.0 60 60
12.5005 46.0266 0.0 60 60
27.408 46.0605 0.0 60 60
14.9977 46.061199 0.0 60 60
16.0686 46.1551 0.0 60 60
21.663 46.2653 0.0 60 60
13.1386 46.275 0.0 60 60
25.2919 46.2969 0.0 60 60
15.0246 46.4342 0.0 60 60
28.2467 46.4733 0.0 60 60
24.5222 46.5284 0.0 60 60
29.8723 46.5293 0.0 60 60
27.7911 46.6415 0.0 60 60
23.1189 46.676 0.0 60 60
23.5981 46.7133 0.0 60 60
26.5009 46.9551 0.0 60 60
28.8175 46.9975 0.0 60 60
21.7856 47.0902 0.0 60 60
22.9494 47.1499 0.0 60 60
26.2276 47.3616 0.0 60 60
25.2167 47.6147 0.0 60 60
25.2175 47.6326 0.0 60 60
25.1805 47.633 0.0 60 60
23.4969 47.6728 0.0 60 60
28.3513 48.135 0.0 60 60
26.609 48.2073 0.0 60 60
18.836 48.4939 0.0 60 60
22.2731 48.9333 0.0 60 60
20.2339 49.1894 0.0 60 60
24.0318 49.8186 0.0 60 60
