7.93 46.3 0.0 60 60
8.34 47.55 0.0 60 60
8.5 47.37 0.0 60 60
8.57 47.57 0.0 60 60
8.27 47.25 0.0 60 60
7.02 46.2 0.0 60 60
7.17 47.38 0.0 60 60
7.16 47.38 0.0 60 60
7.17 47.37 0.0 60 60
7.12 47.37 0.0 60 60
7.2 47.38 0.0 60 60
7.603898 47.57775 0.0 60 60
7.6 47.58 0.0 60 60
8.04 47.39 0.0 60 60
6.97 46.32 0.0 60 60
8.64 46.88 0.0 60 60
9.4 47.33 0.0 60 60
7.26 46.21 0.0 60 60
10.2 46.78 0.0 60 60
9.43 47.51 0.0 60 60
8.24 46.89 0.0 60 60
7.72 47.53 0.0 60 60
7.42 46.29 0.0 60 60
7.59 47.58 0.0 60 60
7.58 47.57 0.0 60 60
7.59 47.57 0.0 60 60
7.59 47.56 0.0 60 60
7.56 47.57 0.0 60 60
8.52 47.19 0.0 60 60
7.58 47.56 0.0 60 60
7.61 47.56 0.0 60 60
7.6 47.55 0.0 60 60
7.44 46.95 0.0 60 60
9.75 46.63 0.0 60 60
7.25 47.13 0.0 60 60
7.58 47.54 0.0 60 60
7.98 46.32 0.0 60 60
9.47 47.16 0.0 60 60
9.43 47.15 0.0 60 60
9.47 47.17 0.0 60 60
7.05 46.63 0.0 60 60
8.42 46.98 0.0 60 60
8.61 46.16 0.0 60 60
9.86 46.51 0.0 60 60
6.84 46.83 0.0 60 60
9.54 46.79 0.0 60 60
8.64 47.71 0.0 60 60
7.13 46.47 0.0 60 60
7.1 46.85 0.0 60 60
7.49 46.32 0.0 60 60
10.3 46.8 0.0 60 60
9.52 46.86 0.0 60 60
9.83 46.8 0.0 60 60
7.34 47.37 0.0 60 60
8.65 46.82 0.0 60 60
6.93 46.07 0.0 60 60
8.41 46.82 0.0 60 60
6.57 46.52 0.0 60 60
8.23 47.53 0.0 60 60
7.71 47.5 0.0 60 60
7.66 46.58 0.0 60 60
7.16 46.79 0.0 60 60
7.74 46.32 0.0 60 60
6.14 46.2 0.0 60 60
9.07 47.04 0.0 60 60
7.84 46.19 0.0 60 60
9.31 47.42 0.0 60 60
8.0257 46.6242 0.0 60 60
9.63 47.42 0.0 60 60
7.4 46.19 0.0 60 60
7.54 46.3 0.0 60 60
7.86 46.69 0.0 60 60
7.38 46.23 0.0 60 60
7.36 46.24 0.0 60 60
9.21 46.77 0.0 60 60
7.72 47.54 0.0 60 60
8.28 46.9 0.0 60 60
8.57 47.46 0.0 60 60
9.18 47.65 0.0 60 60
6.79 47.08 0.0 60 60
7.44 46.46 0.0 60 60
7.73226 47.48764 0.0 60 60
8.79 46.16 0.0 60 60
9.0 46.92 0.0 60 60
8.31 47.06 0.0 60 60
8.31 47.05 0.0 60 60
8.32 47.05 0.0 60 60
7.07 46.1 0.0 60 60
8.19 46.73 0.0 60 60
9.43 47.05 0.0 60 60
9.55 47.21 0.0 60 60
6.8 46.67 0.0 60 60
6.94 46.29 0.0 60 60
7.65 47.55 0.0 60 60
6.95 47.0 0.0 60 60
7.8 46.18 0.0 60 60
7.99 46.32 0.0 60 60
7.52 47.21 0.0 60 60
7.54 47.21 0.0 60 60
6.13882 46.22761 0.0 60 60
6.91908 46.378 0.0 60 60
7.6 47.51 0.0 60 60
7.81 47.55 0.0 60 60
7.62 47.57 0.0 60 60
7.65 47.59 0.0 60 60
7.65 47.58 0.0 60 60
7.67 47.53 0.0 60 60
8.36 46.96 0.0 60 60
7.22 46.81 0.0 60 60
9.38 47.42 0.0 60 60
7.63 46.74 0.0 60 60
8.65 47.5 0.0 60 60
9.55 47.12 0.0 60 60
10.33 46.63 0.0 60 60
7.43 46.35 0.0 60 60
8.96 46.01 0.0 60 60
9.53 46.69 0.0 60 60
7.22257 46.09583 0.0 60 60
6.84 46.46 0.0 60 60
7.89 46.29 0.0 60 60
7.88 46.29 0.0 60 60
7.88 46.29 0.0 60 60
9.31 47.12 0.0 60 60
9.45983 47.17139 0.0 60 60
9.03 47.46 0.0 60 60
