11.183033	47.762054
10.673767	47.71338
10.237253	47.664654
9.873492	47.51817
9.436979	47.322142
8.927713	47.273007
8.491199	47.174583
8.054686	47.075954
7.618172	46.927626
7.108906	46.828484
6.672393	46.729138
6.381384	46.479872
6.163127	46.17906
6.017622	45.8764
5.799366	45.571892
5.435604	45.316724
5.144595	45.008829
4.926339	44.699088
5.071843	44.387503
5.435604	44.231019
5.944870	44.231019
5.799366	44.595431
5.799366	45.008829
6.017622	45.42
6.163127	45.57906
6.381384	45.879872
6.672393	46.429138
7.108906	46.528484
7.618172	46.627626
8.054686	46.825954
8.491199	46.974583
8.927713	47.023007
9.436979	47.052142
9.873492	47.31817
10.237253	47.464654
10.673767	47.51338
11.183033	47.762054
